"warning_name","SurveyorID","Submission.Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status.2020","HOM","Status.2021","DWR","Crown.position","Dead.crown.position","Dead.DBH","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Notes.2021","Crown.thinning","Epicormic.growth","EABF","D.shaped.exit.hole.count","Crown.position...10.cm.DBH"
"DBH_dead_suspicious","BC","1a9052f8-4f27-4257-9d98-58c4f6d57555",1028,102423,1,"quru",6.6,1.7,684,"A",1.3,"DS","False",4,"D",709,100,0,NA,0,"DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dead_but_now_alive",NA,"e5993146-b9ca-4495-8f63-ae4073ed1176",106,10285,1,"fram",10.5,103.4,254,"DS",1.3,"AU","False",2,NA,NA,20,10,NA,1,"I",NA,NA,NA,NA,5,4,"DE,W,AS",5,NA
"DBH_dead_suspicious","JJ","5753a817-fa77-4a3e-b8d7-30556a467ac7",1117,112010,1,"quru",18.2,10.3,170,"DS",1.3,"DS","False",2,"S",17,40,0,NA,0,"U,DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious","BC","2cf581b7-c6c4-4a92-b458-e4f26e6e8199",1213,121421,1,"quru",11.7,15.1,495,"AU",1.3,"DS","False",3,"CD",520,80,0,NA,0,"DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious","TR","8cb62d4c-821c-4795-8386-53ef1cf0c3b8",1216,121358,1,"fram",10.9,12,1061,"A",1.3,"DS","False",4,"D",1040,80,0,NA,0,"I,F",NA,NA,NA,NA,5,0,"AS,DE,SS",45,"D"
"Dead_but_now_alive","BC","fb2aa4bf-c6b4-4236-a0b7-47c528cdb149",1230,122555,1,"fram",2.2,12.8,121,"DS",1.3,"AU","False",NA,NA,NA,100,50,NA,0,"I",NA,NA,NA,NA,4,6,"AS,W",NA,NA
"DBH_dead_suspicious","BC","609d4eef-1354-4067-855f-05c797d5bd8e",1518,152044,2,"qupr",4.6,4.5,352,"AU",1.3,"DS","False",3,"CD",420,50,0,45,0,"B",3,NA,3,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious",NA,"5edeb5b2-533f-42f8-a0f8-102fbee1abfd",208,20602,1,"qual",27.8,151.8,343,"A",1.3,"DS","False",3,"CD",377,0,0,NA,0,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious",NA,"86aa55ae-90e3-4666-b70e-8cd326938316",210,20661,1,"qual",33.2,193.60001,724,"AU",1.3,"DS","False",3,"CD",883,100,0,NA,0,"DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious","JJ","94a959c0-cb73-4a5b-82d9-94dec634afa9",213,20739,1,"caca",11.2,2.8,111,"DS",1.2,"DS","False",1,"S",70,0,0,NA,0,"U,F,R,DF,B",2,NA,2,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious","JJ","f94d4491-37cd-46e1-8b18-80b40363e752",218,22056,1,"tiam",15.6,5.8,378,"AU",1.3,"DS","False",2,"CD",340,40,0,NA,0,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious","JJ","99ed197c-77e2-4b19-be33-ce4a20828187",222,22207,1,"fram",10.8,14.5,345,"AU",1.3,"DS","False",NA,"CD",308,55,0,NA,0,"I,R,F",NA,NA,1,NA,5,0,"DE",4,NA
"DBH_dead_suspicious","BC","fb7cba12-89a3-4c7e-bafa-c1587821184f",226,22333,1,"fram",5.5,2.7,430,"A",1.3,"DS","False",3,"CD",640,90,0,NA,0,"I",NA,NA,2,NA,5,0,"SS,W,AS,VB,DE",10,NA
"DBH_dead_suspicious","BC","053eeaa2-d8f0-4efd-affe-c5a4eae22477",424,42248,1,"quve",0.5,2.5,794,"AU",1.3,"DS","False",3,"CD",815,60,0,NA,0,"DF",NA,NA,2,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious","BC","e9c39561-4e0e-42c7-a952-6e40321ad6aa",501,50047,1,"litu",16.9,13.7,682,"A",1.3,"DS","False",4,"D",720,100,0,NA,0,"DF",NA,NA,1,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious","BC","88d20c97-03fe-4ae3-9a82-aabc53a0cb0f",721,72202,1,"quve",17.5,10.7,574,"AU",1.3,"DS","False",4,"D",602,90,0,NA,0,"DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DBH_dead_suspicious","JJ,BC","f94d4491-37cd-46e1-8b18-80b40363e752",218,22056,1,"tiam",15.6,5.8,378,"AU",1.3,"DS","False",2,"CD",340,40,0,NA,0,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dead_but_now_alive","BC","4f6b740e-2dcc-474a-bb66-91841af40cef",1506,150913,1,"acru",6.7,19.9,305,"PD",1.3,"A","False",3,NA,NA,100,95,NA,0,NA,NA,NA,NA,"Not sure why it says PD; it’s a very healthy tree",NA,NA,NA,NA,NA
"Dead_but_now_alive","JJ","43ce6d43-9bff-4f64-b3c1-40d6f075cefb",709,70382,1,"quru",16.8,2.1,800,NA,1.3,"A","False",4,NA,NA,100,100,NA,1,NA,NA,NA,NA,"no tag",NA,NA,NA,NA,NA
"Dead_but_now_alive","JJ","43ce6d43-9bff-4f64-b3c1-40d6f075cefb",709,70387,1,"litu",14.3,7.1,387,NA,1.3,"A","False",3,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dead_but_now_alive","JJ","43ce6d43-9bff-4f64-b3c1-40d6f075cefb",709,70388,1,"caovl",13.2,7.3,170,NA,1.3,"A","False",1,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dead_but_now_alive","JJ","43ce6d43-9bff-4f64-b3c1-40d6f075cefb",709,70397,1,"caca",19.3,15.1,115,NA,1.2,"A","False",1,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dead_but_now_alive","JJ","43ce6d43-9bff-4f64-b3c1-40d6f075cefb",709,70399,1,"litu",18.8,8.9,429,NA,1.3,"A","False",3,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
