"Submission Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status 2020","HOM","Status 2021","DWR","Crown position","Dead crown position","Dead DBH","Percentage of crown intact","Percentage of crown living","Lean angle if greater than 15 degrees","Lianas","FAD","Wounded main stem","Canker; swelling, deformity","Rotting trunk","Notes 2021","Crown thinning","Epicormic growth","EABF","D-shaped exit hole count","Crown position < 10 cm DBH"
"ed63f198-3ee5-494d-b1c2-29cb13c80b6d","715","70601","1","qual","18.9","6.4","166","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0","B","3",NA,NA,NA,NA,NA,NA,NA,NA
"88d20c97-03fe-4ae3-9a82-aabc53a0cb0f","721","72212","1","litu","9.8","20","192","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47597583-387e-4ca4-9712-a08d85a3a602","723","72254","1","litu","18.3","13.4","139","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0","CR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"e6ba5ceb-9d8e-44d1-9cdd-21e5d2cc6ef6","727","72345","1","litu","15.1","3.6","191","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0","B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bb558baa-8245-4807-824e-d1a62bc0001e","726","72323","1","litu","18.2","4.2","134","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57a6e715-24c8-48c2-8d7f-c70972e0debd","832","82435","1","fram","3.5","3.5","74","A","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223b1d04-8f5c-42b2-9c7b-ff5bad8c53d1","815","80570","1","pato","18.8","6.4","485","PD","1.3","DC","False",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23463380-182c-43a9-82de-4bdc2d12eb85","816","80773","1","frni","19.6","17.3","NA","PD","1.3","DC","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23463380-182c-43a9-82de-4bdc2d12eb85","816","80776","1","caca","7.9","18.5","107","A","1.3","A","False","2",NA,NA,90,90,25,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8c1c62a8-285e-4eb4-a237-3aa5dcfa26b7","818","82072","1","qual","11.6","10.9","545","A","1.3","AU","False","3",NA,NA,95,95,NA,NA,"HS,R,W","1",NA,"2",NA,NA,NA,NA,NA,NA
"26f6e332-8dad-491f-a650-efc8b1adc615","617","62006","1","fram","8.1","6","NA","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"892555ab-a021-4623-907d-3947bd662498","624","62267","1","cagl","18","5.2","244","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","R",NA,NA,"3",NA,NA,NA,NA,NA,NA
"892555ab-a021-4623-907d-3947bd662498","624","62267","1","cagl","18","5.2","244","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ec2e5459-9d51-4860-96da-9ccdc0d08a1f","628","62369","1","cato","14","11.9","293","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0","R,UP",NA,NA,"3",NA,NA,NA,NA,NA,NA
"c227ad29-88d9-494f-894c-6a474638fa22","510","40818","1","litu","19.9","15.5","143","DS","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389dcf1a-5f4a-4c2b-826b-039506bc33c9","528","52343","1","quru","16.2","2.4","397","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"f8210ce6-3678-4a3b-9d41-787b9001ade9","426","42321","1","litu","1.4","5.2","125","DS","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dead2eb9-3a08-41c0-9364-577faa9338fb","419","42087","1","tiam","10.8","13.1","201","A","1.3","A","False",NA,NA,NA,100,100,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a7eaae26-f7ec-46c3-a6a4-34f5b10c413e","411","40794","1","acru","11.7","0.9","118","AU","1.3","DC","False",NA,"S",120,0,0,NA,"0","UP",NA,NA,"3",NA,NA,NA,NA,NA,NA
"2c83480b-e6fe-417e-b4d6-1e6df41c27f3","402","40113","1","frni","3.1","15.2","64","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2c83480b-e6fe-417e-b4d6-1e6df41c27f3","402","40108","1","fram","12.6","3.5","94","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b2476add-a34f-4a80-a1e6-9fb542cf7b71","229","22522","1","litu","8.8","18","598","A","1.3","A","False",NA,NA,NA,100,90,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61f49dc5-7481-4d72-9c81-50d04a40cef8","227","22370","1","fram","7.7","5.7","108","A","1.3","AU","False",NA,NA,NA,100,60,NA,"0","I",NA,NA,NA,NA,"3","1","W,SS",NA,NA
"61f49dc5-7481-4d72-9c81-50d04a40cef8","227","22371","1","quve","5.4","6.6","449","A","1.3","A","False",NA,NA,NA,100,95,NA,"0",NA,NA,NA,NA,"tag missing",NA,NA,NA,NA,NA
"61f49dc5-7481-4d72-9c81-50d04a40cef8","227","22393","1","cato","11.1","12.2","271","A","1.3","AU","False",NA,NA,NA,100,90,NA,"0","B,W","1","1",NA,NA,NA,NA,NA,NA,NA
"e3ef3f97-177c-4277-aa73-cd0150c920d8","303","30157","1","caco","18.8","7.5","434","A","1.3","A","False",NA,NA,NA,100,95,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"062a6e5f-5e91-4807-b9f4-d1ef2b73e4c1","304","30070","1","juni","0.3","3.3","431","AU","1.3","PD","False",NA,NA,NA,0,0,NA,"0","B","3",NA,NA,NA,NA,NA,NA,NA,NA
"093ea1e7-77a0-4cb9-b273-1a7d26aac27a","307","30364","1","fram","8.5","19.4","316","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","VB,W",NA,NA
"cf590ecf-1125-4729-ad34-b5712bc66214","315","30485","1","fagr","14.7","0.7","145","A","1.3","A","False",NA,NA,NA,100,100,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3ed529d7-acaa-47a1-a3e3-b9bc737f92fe","316","30566","1","cato","11.1","0.1","159","DC","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32cbb6e1-7a16-4899-92d0-438710b4f855","320","32119","1","fram","9.4","18.2","664","DS","1.3","DC","False",NA,NA,664,0,0,NA,"0",NA,NA,NA,NA,NA,"5","0","W",NA,NA
"55830443-8132-4709-851c-19ef641f3af6","323","32251","1","tiam","10.3","10.3","164","A","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3471c49a-2684-47ed-a3fe-0b1e6b632227","214","20783","1","cagl","9","10","112","DS","1.3","DC","False",NA,NA,NA,0,0,NA,"0","U,R,F,DF,UP,B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9d5d6d84-f774-483e-a333-803b1e8d4779","221","22168","1","qual","6","12.9","105","AU","1.3","AU","False",NA,NA,NA,80,80,18,"0",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"99ed197c-77e2-4b19-be33-ce4a20828187","222","22196","1","caca","15.4","10.7","125","A","1.3","A","False",NA,NA,NA,100,100,17,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99ed197c-77e2-4b19-be33-ce4a20828187","222","22207","1","fram","10.8","14.5","345","AU","1.3","DS","False",NA,"CD",308,55,0,NA,"0","I,R,F",NA,NA,"1",NA,"5","0","DE",4,NA
"004d33b6-696c-4bd1-97c7-fc892df0f4ab","223","22224","1","acru","2.6","7","110","DC","1.8","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not found",NA,NA,NA,NA,NA
"fa0cf090-3a2d-4b2a-95dc-13a3c1539eb4","119","12077","1","fram","0.6","19.9","41","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893c2c42-3c91-4e6a-ae2c-6dae7b8c9c2a","123","12218","2","frni","19.8","17.1","NA","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893c2c42-3c91-4e6a-ae2c-6dae7b8c9c2a","123","12221","1","frni","11.1","15.2","NA","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21528247-2d0a-484e-b89e-a70f34f364ec","125","12274","1","fram","11.1","19","382","A","1.3","AU","False","4",NA,NA,100,2,NA,"0","I",NA,NA,NA,NA,"5","4","W,DE",4,NA
"21528247-2d0a-484e-b89e-a70f34f364ec","125","12267","1","fram","19.9","12.6","NA","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21528247-2d0a-484e-b89e-a70f34f364ec","125","12274","1","fram","11.1","19","382","A","1.3","AU","False",NA,NA,NA,50,20,NA,"0","I",NA,NA,NA,NA,"5","3","W",NA,NA
"2b719fce-b760-4b10-ab86-0036cb56e17e","201","20040","1","fram","32.1","12.7","274","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","AS",NA,"I"
"b9d49f48-f61d-4ffe-8c85-b1c83aa6e822","203","20144","1","frni","20.9","44.1","NA","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c6466bea-8292-4322-ad1c-4d42ca657c19","204","20251","1","fram","23","66.4","73","PD","1.3","PD","False",NA,NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,"5","0","VB,AS",NA,NA
"c2ce5ce7-3e75-4bbc-8453-2fbcc076dfa2","207","20544","1","quru","23.2","123.4","113","A","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a8b2d091-03c6-4a4a-a0e0-1e7a0e76b00e","209","20629","1","litu","39.8","179.5","580","AU","1.3","AU","False",NA,NA,NA,100,90,NA,"0","U",NA,NA,NA,"epicormic sprouts",NA,NA,NA,NA,NA
"86aa55ae-90e3-4666-b70e-8cd326938316","210","20666","1","caco","38.5","181","129","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adcd07e2-8f42-4929-8763-00263b4933c8","212","20715","1","litu","26.5","235.7","191","A","1.3","A","False",NA,NA,NA,90,75,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23f4a54c-6998-4b55-9f8b-01d59e665cfe","815","80570","1","pato","158.8","286.39999","485","PD","1.3","PD","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23f4a54c-6998-4b55-9f8b-01d59e665cfe","815","80560","1","frpe","143","284","130","PD","1.3","DC","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02474085-54ea-4dd7-b82a-3f3e84924639","112","10649","1","cato","18.7","233.5","138","A","1.3","A","False",NA,NA,NA,100,100,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ee488b9e-3db5-4a7e-9475-23ebb6f223c5","816","80776","1","caca","147.89999","318.5","107","A","1.3","A","False",NA,NA,NA,NA,NA,35,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a7291bcf-4a52-4ccf-99b8-8b3d371de6f1","818","82072","1","qual","151.60001","350.89999","545","A","1.3","A","False",NA,NA,NA,90,90,18,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
